testname,SGA,RGA,IGA
e17,14798.655000,99354.527000,176633.710000
e18,40442.254000,179959.661000,200758.086000
e19,45998.250000,138820.431000,200524.695000
e20,85247.853000,192296.955000,304054.376000
berlin52,1900.722000,4582.967000,7101.182000
brasil58,2478.886000,6013.943000,7926.271000
world666,57252.953000,217574.154000,349232.206000
p455,38028.192000,67805.168000,94545.258000
p456,39538.806000,70224.549000,89421.236000
p457,38296.395000,70649.498000,99948.981000
p458,38649.546000,69157.006000,99333.904000
p459,39921.147000,68371.900000,96713.170000
p460,40189.808000,68249.976000,93493.023000
p461,40564.155000,9137.290000,14722.614000
p463,167619.976000,270306.658000,506492.380000
p464,149767.191000,272974.479000,467669.874000
i080-001,1639.783000,2921.016000,4395.351000
i080-002,1756.421000,2826.866000,4162.247000
i080-003,1535.497000,2816.726000,4074.060000
i080-004,1701.358000,2934.591000,4243.014000
i080-005,1647.650000,2780.116000,4035.630000
i080-011,1330.537000,2616.364000,3923.139000
i080-012,1464.391000,2577.956000,3819.355000
i080-013,1378.146000,2744.900000,3940.744000
i080-014,1434.478000,2874.714000,3878.253000
i080-015,1334.861000,2767.167000,3942.847000
i080-021,1813.313000,5519.645000,9140.210000
i080-022,1833.736000,5752.211000,9341.978000
i080-023,1802.616000,5412.058000,9341.457000
i080-024,1900.144000,5627.151000,9235.068000
i080-025,1710.565000,5347.547000,8642.970000
i080-031,1343.371000,2381.716000,3549.350000
i080-032,1588.535000,2876.260000,4084.720000
i080-033,1460.341000,2720.669000,3721.112000
i080-034,1369.132000,2499.149000,3511.140000
i080-035,1536.184000,2792.485000,3979.829000
i080-041,1552.626000,3258.118000,4873.839000
i080-042,1541.737000,3315.219000,5073.983000
i080-043,1629.294000,3306.031000,4951.990000
i080-044,1683.936000,3258.850000,4922.601000
i080-045,1529.896000,3395.391000,4880.629000
i080-101,1792.867000,3367.675000,4650.669000
i080-102,1719.103000,3022.717000,4599.893000
i080-103,1706.226000,3327.648000,4725.595000
i080-104,1797.043000,3601.607000,4728.473000
i080-105,1557.129000,2797.450000,4327.395000
i080-111,1767.064000,2778.531000,4597.754000
i080-112,1983.351000,2883.100000,4125.776000
i080-113,1439.906000,2713.081000,4099.461000
i080-114,1396.344000,2785.785000,3914.363000
i080-115,1494.348000,2751.794000,4139.486000
i080-121,1729.264000,5976.339000,9120.301000
i080-122,1852.126000,5456.095000,8682.652000
i080-123,1763.843000,5560.624000,9010.644000
i080-124,1952.426000,5961.949000,9033.571000
i080-125,1637.001000,5313.902000,9174.208000
i080-131,1510.030000,2682.123000,4048.556000
i080-132,1558.461000,2589.694000,3897.635000
i080-133,1724.546000,2802.592000,3784.449000
i080-134,1501.728000,2777.710000,3893.931000
i080-135,1442.115000,2678.612000,3871.898000
i080-141,1735.579000,3903.461000,5334.141000
i080-142,1595.294000,3907.261000,5175.633000
i080-143,1559.343000,3670.099000,4953.739000
i080-144,1715.099000,3696.151000,5180.731000
i080-145,1609.983000,3773.343000,5216.384000
i080-201,1999.281000,3544.122000,5697.894000
i080-202,2078.085000,3581.134000,5279.819000
i080-203,1954.129000,3429.719000,5103.565000
i080-204,2146.041000,3832.624000,5414.864000
i080-205,1946.731000,3871.066000,5607.857000
i080-211,1738.652000,3203.552000,4510.442000
i080-212,1799.894000,3215.325000,4996.297000
i080-213,1682.125000,3138.237000,5001.020000
i080-214,1856.233000,3152.729000,4809.695000
i080-215,1794.790000,3229.335000,4680.417000
i080-221,1876.005000,6405.062000,9300.899000
i080-222,1916.535000,5867.067000,9729.814000
i080-223,2203.362000,5809.719000,9353.176000
i080-224,2002.332000,6753.636000,9394.216000
i080-225,2565.046000,5969.853000,9294.587000
i080-231,2422.869000,3556.920000,5107.853000
i080-232,2402.961000,3410.646000,4923.323000
i080-233,2193.954000,3368.603000,4567.788000
i080-234,2093.242000,3382.494000,4615.310000
i080-235,2277.017000,3411.801000,4910.006000
i080-241,2117.510000,3806.646000,5730.914000
i080-242,2006.176000,3980.725000,5718.389000
i080-243,1978.254000,3840.655000,5952.831000
i080-244,2053.032000,3751.228000,5879.650000
i080-245,1898.647000,3702.842000,5796.880000
i080-301,2156.440000,3807.830000,5529.158000
i080-302,2183.584000,4465.694000,5949.016000
i080-303,2258.840000,4060.749000,5856.106000
i080-304,2092.629000,3973.944000,5587.247000
i080-305,2289.817000,4104.988000,5992.761000
i080-311,2068.559000,3626.006000,5257.229000
i080-312,1904.002000,3521.577000,5094.206000
i080-313,1952.676000,3443.279000,5017.644000
i080-314,2062.235000,3430.468000,5230.836000
i080-315,2015.027000,3486.583000,5876.904000
i080-321,2456.608000,6412.997000,9412.572000
i080-322,2089.859000,5774.940000,9624.685000
i080-323,2328.743000,6395.942000,9572.541000
i080-324,2128.527000,6086.801000,9878.119000
i080-325,2098.902000,6289.590000,9892.444000
i080-331,2092.809000,3621.065000,5264.515000
i080-332,1997.197000,3898.853000,5673.218000
i080-333,1956.419000,3618.586000,5742.943000
i080-334,2008.241000,3664.228000,5382.972000
i080-335,1897.935000,3598.524000,5144.138000
i080-341,2114.317000,3997.236000,5995.214000
i080-342,2117.681000,3963.488000,6153.326000
i080-343,1988.645000,4108.684000,5938.111000
i080-344,2120.312000,4024.009000,5990.332000
i080-345,2038.008000,4366.065000,5875.369000
i160-001,2058.730000,3709.362000,5436.466000
i160-002,1833.625000,3321.304000,4514.050000
i160-003,1939.553000,3431.227000,5220.633000
i160-004,1808.839000,3322.120000,5158.814000
i160-005,1908.176000,3605.958000,5246.885000
i160-011,1751.493000,3688.790000,5717.740000
i160-012,1981.087000,3487.917000,5798.820000
i160-013,1810.901000,3736.666000,5537.204000
i160-014,1848.515000,4245.052000,5793.728000
i160-015,2074.053000,4088.948000,5877.885000
i160-021,3726.988000,14091.422000,25026.881000
i160-022,4003.184000,14552.384000,23698.855000
i160-023,4236.325000,13863.658000,24158.445000
i160-024,4237.808000,13964.805000,23718.317000
i160-025,3278.132000,15450.697000,24226.478000
i160-031,1420.746000,2635.997000,4139.713000
i160-032,1539.312000,2641.700000,4663.339000
i160-033,1499.819000,2735.106000,3990.741000
i160-034,1464.090000,2625.549000,4646.220000
i160-035,1508.454000,2750.491000,4350.537000
i160-041,2139.245000,6188.516000,9688.548000
i160-042,2156.363000,6172.004000,10202.299000
i160-043,2017.289000,5951.929000,9674.635000
i160-044,2130.691000,5893.486000,9732.096000
i160-045,2047.168000,6761.302000,9825.537000
i160-101,1995.533000,4694.476000,5509.447000
i160-102,2078.915000,7531.909000,5674.267000
i160-103,2032.268000,5790.906000,5795.303000
i160-104,2314.711000,4450.608000,5973.987000
i160-105,1872.618000,4971.928000,5340.411000
