testname,SGA,RGA,IGA
i160-245,5238,5253,5355
i160-301,11905,11905,11904
i160-302,11581,11598,11497
i160-303,11515,11515,11507
i160-304,11615,11521,11521
i160-305,11657,11458,11458
i160-311,9893,9601,9512
i160-312,9434,9679,9415
i160-313,9393,9709,9386
i160-314,9436,9232,9118
i160-315,9453,9496,9386
i160-321,11285,9037,9063
i160-322,11293,9145,8952
i160-323,8068,9080,9159
i160-324,11308,9017,9052
i160-325,8168,8930,9164
i160-331,10485,10483,10478
i160-332,10996,10839,10814
i160-333,10858,10669,10714
i160-334,10493,10560,10412
i160-335,11007,10825,10687
i160-341,8621,8706,8930
i160-342,8815,8995,8777
i160-343,8752,8735,8932
i160-344,8853,8748,8728
i160-345,8940,8796,8991
